;retornos;var;es;market
12-06-2019;-0.001105353;0.041565208;0.042584199;D1
13-06-2019;0.002480984;0.038820661;0.039760141;D1
14-06-2019;-0.008693613;0.03832201;0.039252478;D1
17-06-2019;-0.004424559;0.038986247;0.039932045;D1
18-06-2019;-0.013054234;0.041463349;0.042481038;D1
19-06-2019;0.011628209;0.039911041;0.040884362;D1
20-06-2019;0.005281861;0.040478839;0.041467661;D1
21-06-2019;-0.000698539;0.039394169;0.040352104;D1
24-06-2019;0.001202768;0.03999377;0.04097014;D1
25-06-2019;0.014916055;0.038347945;0.039278696;D1
26-06-2019;-0.009660442;0.039205296;0.04015974;D1
27-06-2019;0.003997978;0.037940664;0.038860851;D1
28-06-2019;0.003857084;0.039890983;0.04086474;D1
01-07-2019;0.008745261;0.043496216;0.044571252;D1
02-07-2019;-0.005344241;0.045001101;0.04611924;D1
05-07-2019;-0.005115356;0.044654697;0.045762921;D1
08-07-2019;0.003489062;0.043902014;0.04498869;D1
09-07-2019;-0.010218832;0.043451213;0.044525057;D1
10-07-2019;-0.007034703;0.042630719;0.043681296;D1
11-07-2019;0.008074559;0.041805421;0.042832751;D1
12-07-2019;-0.002986317;0.041279465;0.042292056;D1
15-07-2019;-0.005692845;0.040779171;0.041775917;D1
16-07-2019;0.001002769;0.040081656;0.041060965;D1
17-07-2019;0.004732859;0.039707303;0.040675513;D1
18-07-2019;-0.007814483;0.039265451;0.04022234;D1
19-07-2019;0.017863184;0.039116569;0.040062734;D1
22-07-2019;-0.015476772;0.038521756;0.039458372;D1
23-07-2019;-0.000428137;0.034184338;0.035001831;D1
24-07-2019;-0.003770705;0.036946713;0.037840428;D1
25-07-2019;0.007787624;0.036910515;0.037802178;D1
26-07-2019;9.19E-05;0.035888396;0.036753573;D1
29-07-2019;-0.005980987;0.035691802;0.036551294;D1
30-07-2019;-0.000405476;0.037323597;0.03822736;D1
31-07-2019;0.0175541;0.035432381;0.036285154;D1
01-08-2019;0.026520573;0.036292131;0.037168052;D1
02-08-2019;0.006361726;0.039689637;0.040658004;D1
05-08-2019;0.022918545;0.043876789;0.044962785;D1
06-08-2019;-0.00108009;0.052206515;0.053532618;D1
07-08-2019;-0.017972802;0.059499703;0.061050074;D1
08-08-2019;-0.013146206;0.054411131;0.055808496;D1
09-08-2019;-0.000497751;0.052588041;0.053928178;D1
12-08-2019;-0.004723366;0.054071385;0.055456905;D1
13-08-2019;-0.037991864;0.053349339;0.054712652;D1
14-08-2019;-0.001718491;0.051158275;0.052454265;D1
15-08-2019;0.007338611;0.05115974;0.052458243;D1
16-08-2019;-0.008086223;0.054853869;0.056262622;D1
19-08-2019;0.001638285;0.053880187;0.055262529;D1
20-08-2019;0.00369653;0.053820405;0.055199987;D1
21-08-2019;0.000893542;0.050999536;0.052286487;D1
22-08-2019;0.006346254;0.050199285;0.05147005;D1
23-08-2019;0.032338163;0.048098343;0.049300766;D1
26-08-2019;-0.001840736;0.058210533;0.059728833;D1
27-08-2019;0.019945838;0.0592947;0.060844907;D1
28-08-2019;-0.00439481;0.06530249;0.06705158;D1
29-08-2019;-0.001340029;0.069577406;0.071461879;D1
30-08-2019;0.00760485;0.071393448;0.073333434;D1
03-09-2019;0.005190692;0.062642136;0.064295683;D1
04-09-2019;-0.002581596;0.062079142;0.063716684;D1
05-09-2019;-0.005103813;0.059742893;0.061289155;D1
06-09-2019;0.005082208;0.056113317;0.057555108;D1
09-09-2019;0.004215161;0.052748951;0.054089049;D1
10-09-2019;-0.010919581;0.052494919;0.053831812;D1
11-09-2019;-0.023812528;0.049096117;0.050326958;D1
12-09-2019;0.008566585;0.048096594;0.049303015;D1
13-09-2019;0.004302455;0.046651788;0.04780979;D1
16-09-2019;-0.00877802;0.045659432;0.046796179;D1
17-09-2019;-0.00199502;0.043766609;0.044846546;D1
18-09-2019;-0.007571361;0.043803789;0.044885574;D1
19-09-2019;0.005370849;0.042176523;0.043213308;D1
20-09-2019;0.018829849;0.041932943;0.042963124;D1
23-09-2019;0.002607462;0.047161678;0.048342287;D1
24-09-2019;0.015945685;0.052240362;0.053572631;D1
25-09-2019;-0.008348993;0.045697902;0.046822773;D1
26-09-2019;0.001589476;0.04803403;0.049236267;D1
27-09-2019;0.006367749;0.049920483;0.051177079;D1
30-09-2019;-0.012593916;0.0497662;0.051014887;D1
01-10-2019;0.000830725;0.0399076;0.040880352;D1
02-10-2019;0.018754872;0.047342471;0.048521945;D1
03-10-2019;-0.01339774;0.047812935;0.049011325;D1
04-10-2019;-0.004986011;0.054872101;0.056282999;D1
07-10-2019;-0.00284241;0.052463051;0.05379445;D1
08-10-2019;0.006369821;0.053539593;0.054910463;D1
09-10-2019;0.001785798;0.047944548;0.049140751;D1
10-10-2019;-0.008648392;0.05794308;0.059447625;D1
11-10-2019;-0.012398653;0.049027387;0.050258998;D1
14-10-2019;-0.005129165;0.049059656;0.050295011;D1
15-10-2019;0.00576236;0.048205311;0.049414673;D1
16-10-2019;-0.004982328;0.048953009;0.05018332;D1
17-10-2019;0.000106287;0.043447076;0.044510761;D1
18-10-2019;-0.006713727;0.046563771;0.047726436;D1
21-10-2019;-0.010406617;0.043070324;0.04412688;D1
22-10-2019;0.005254345;0.038799734;0.039737986;D1
23-10-2019;-0.004534634;0.040000972;0.04097586;D1
24-10-2019;0.006007321;0.037320047;0.038221658;D1
25-10-2019;-0.014053333;0.036687268;0.037573098;D1
28-10-2019;-0.006768023;0.041100507;0.04210673;D1
29-10-2019;0.022375373;0.04031588;0.041301408;D1
