;x
29-10-2019;-0.022375373
30-10-2019;-0.006252028
31-10-2019;0.003763021
01-11-2019;0.023594873
04-11-2019;-0.001032349
05-11-2019;-0.000542388
06-11-2019;0.000560141
07-11-2019;0.002473688
08-11-2019;0.00467989
11-11-2019;0.013544554
12-11-2019;1.89E-05
13-11-2019;0.012181259
14-11-2019;-0.005845929
15-11-2019;0.005283739
18-11-2019;0.002661458
19-11-2019;-0.006758765
20-11-2019;-0.009565756
21-11-2019;-0.006204139
22-11-2019;-0.004215485
25-11-2019;0.014973096
26-11-2019;-0.01251756
27-11-2019;0.007230403
02-12-2019;-0.013437689
03-12-2019;0.00306707
04-12-2019;0.001685871
05-12-2019;0.007617335
06-12-2019;0.010884978
09-12-2019;-0.012106526
10-12-2019;-0.000653768
11-12-2019;0.006304573
12-12-2019;0.013391743
13-12-2019;0.01490926
16-12-2019;0.009483643
17-12-2019;0.003066901
18-12-2019;-0.001158353
19-12-2019;0.002322902
20-12-2019;-0.012494014
23-12-2019;0.0111751
26-12-2019;0.016457557
27-12-2019;-0.006250149
30-12-2019;0.007548946
31-12-2019;0.012244536
02-01-2020;0.012750278
03-01-2020;-0.000238231
06-01-2020;0.017972205
07-01-2020;-0.006821481
08-01-2020;0.018406008
09-01-2020;0.007277209
10-01-2020;-0.00227457
13-01-2020;0.015810637
14-01-2020;-0.015250657
15-01-2020;-0.004116443
16-01-2020;0.00422397
17-01-2020;0.006089556
21-01-2020;-0.002507808
22-01-2020;-0.004287222
23-01-2020;0.001686853
24-01-2020;-0.005305544
27-01-2020;-0.00229147
28-01-2020;0.015105887
29-01-2020;-0.001309467
30-01-2020;0.007885583
31-01-2020;-0.0365122
03-02-2020;0.012867719
04-02-2020;0.009095645
05-02-2020;-0.005029464
06-02-2020;0.006061951
07-02-2020;-0.007278762
10-02-2020;0.021435374
11-02-2020;-0.013255894
12-02-2020;0.016528381
13-02-2020;0.00069551
14-02-2020;0.001495592
18-02-2020;0.010829907
19-02-2020;0.009209922
20-02-2020;-0.007283368
21-02-2020;-0.02045228
24-02-2020;0.004499279
25-02-2020;-0.043227838
26-02-2020;0.01562632
27-02-2020;-0.027288655
28-02-2020;0.063991891
02-03-2020;0.05738266
03-03-2020;-0.048615775
04-03-2020;0.015609552
05-03-2020;-0.007069931
06-03-2020;0.025561137
09-03-2020;0.010746195
10-03-2020;0.025433977
11-03-2020;-0.008201716
12-03-2020;-0.034449243
13-03-2020;0.045315159
16-03-2020;0.007652511
17-03-2020;0.017724802
18-03-2020;0.046589948
19-03-2020;-0.012209835
20-03-2020;-0.077563178
23-03-2020;-0.029453075
24-03-2020;0.040460671
25-03-2020;-0.024848903
26-03-2020;0.0462359
27-03-2020;-0.02605673
30-03-2020;0.011866297
31-03-2020;-0.008169134
01-04-2020;-0.022996071
02-04-2020;0.022670381
03-04-2020;-0.003833505
06-04-2020;0.044080434
07-04-2020;-0.045273666
08-04-2020;0.009037694
09-04-2020;-0.005947511
13-04-2020;0.018465469
14-04-2020;0.021976123
15-04-2020;0.006304526
16-04-2020;-0.000755439
17-04-2020;-0.005604485
20-04-2020;-0.00563105
21-04-2020;-0.030104299
22-04-2020;0.006650922
23-04-2020;-0.002792467
24-04-2020;0.020565681
27-04-2020;0.005539337
28-04-2020;-0.022088432
29-04-2020;0.009564723
30-04-2020;0.012429237
01-05-2020;0.010813786
04-05-2020;0.012663618
05-05-2020;0.009850523
06-05-2020;-0.00175373
07-05-2020;0.000825918
08-05-2020;0.012937467
11-05-2020;0.022581026
12-05-2020;-0.021357108
13-05-2020;-0.01421159
14-05-2020;0.013918409
15-05-2020;0.022508452
18-05-2020;0.004289294
19-05-2020;-0.005459236
20-05-2020;0.005507624
21-05-2020;-0.003902602
22-05-2020;0.006525425
26-05-2020;-0.021029214
27-05-2020;0.005951471
28-05-2020;0.004737313
29-05-2020;-0.005446516
01-06-2020;0.010917139
02-06-2020;0.008324037
03-06-2020;-0.001005551
04-06-2020;-0.0083885
05-06-2020;0.022791121
08-06-2020;0.008237959
09-06-2020;0.033462953
10-06-2020;0.013725062
11-06-2020;-0.036879512
12-06-2020;-0.019955895
15-06-2020;0.028583439
16-06-2020;0.002816851
17-06-2020;-0.013951724
18-06-2020;-0.00034007
19-06-2020;-0.016064867
22-06-2020;0.018425922
23-06-2020;0.006425237
24-06-2020;-0.015313947
25-06-2020;0.009792308
26-06-2020;-0.03250264
29-06-2020;0.020296877
30-06-2020;0.010725401
01-07-2020;-0.006333941
02-07-2020;-0.012789661
06-07-2020;0.009831265
07-07-2020;-0.006217758
08-07-2020;0.007408744
09-07-2020;-0.005439415
10-07-2020;0.001060928
13-07-2020;-0.023215862
14-07-2020;0.024018889
15-07-2020;-0.014663976
16-07-2020;-0.000623082
17-07-2020;-0.010263663
20-07-2020;0.016892368
21-07-2020;-0.023880392
22-07-2020;0.004435594
23-07-2020;-0.044814621
24-07-2020;0.016110374
27-07-2020;0.011329331
28-07-2020;-0.012883497
29-07-2020;0.013432017
30-07-2020;0.01929655
31-07-2020;0.030501121
03-08-2020;0.004262695
04-08-2020;0.004758835
05-08-2020;0.004792583
06-08-2020;0.031199592
07-08-2020;-0.018069978
10-08-2020;-0.00283875
11-08-2020;-0.023521939
12-08-2020;0.017955766
13-08-2020;0.003027282
14-08-2020;0.001666574
17-08-2020;-0.014811683
18-08-2020;0.009906946
19-08-2020;-0.001945682
20-08-2020;0.01982222
21-08-2020;0.036903433
24-08-2020;-0.022065546
25-08-2020;0.001179275
26-08-2020;0.000624545
27-08-2020;-0.01493498
28-08-2020;-0.008268335
31-08-2020;0.009072414
01-09-2020;0.008104071
02-09-2020;-0.046941379
03-09-2020;-0.048450961
04-09-2020;0.011199793
08-09-2020;-0.00671635
09-09-2020;-0.002492108
10-09-2020;-0.059959364
11-09-2020;-0.024253065
14-09-2020;0.004038
15-09-2020;-0.025610264
16-09-2020;-0.029454319
17-09-2020;0.002179915
18-09-2020;-0.03595688
21-09-2020;0.054004452
22-09-2020;-0.009248626
23-09-2020;-0.039478258
24-09-2020;0.030142811
25-09-2020;0.034704251
28-09-2020;-0.000353352
29-09-2020;-0.002270647
30-09-2020;0.018515133
01-10-2020;-0.006510386
02-10-2020;0.002607486
05-10-2020;0.021000702
06-10-2020;-0.02192979
07-10-2020;0.001570131
08-10-2020;-0.011590807
09-10-2020;0.015764715
12-10-2020;0.031909756
13-10-2020;-0.035160713
14-10-2020;0.003229067
15-10-2020;0.015994756
16-10-2020;-0.018810583
19-10-2020;-0.032496811
20-10-2020;0.013445063
21-10-2020;0.005342749
22-10-2020;-0.013807397
23-10-2020;-0.010978777
26-10-2020;0.007776709
27-10-2020;0.008830842
28-10-2020;-0.033005615
29-10-2020;0.01845746
30-10-2020;-0.015467684
02-11-2020;-0.004770659
03-11-2020;0.002878455
04-11-2020;0.006642054
05-11-2020;0.005309026
06-11-2020;0.003247204
09-11-2020;-0.03284645
10-11-2020;0.00431623
11-11-2020;0.020027223
12-11-2020;-0.002723902
13-11-2020;-0.001002608
16-11-2020;0.011334864
17-11-2020;-0.001674172
18-11-2020;-0.004316803
19-11-2020;0.010375503
20-11-2020;-0.010722181
23-11-2020;-0.028268069
24-11-2020;0.011264411
25-11-2020;0.003970785
30-11-2020;0.019742737
01-12-2020;0.014555902
02-12-2020;0.007423557
03-12-2020;-0.006251268
04-12-2020;-0.003353879
07-12-2020;0.012750921
08-12-2020;0.000929475
09-12-2020;-0.022311427
10-12-2020;0.021343416
11-12-2020;0.000243752
14-12-2020;-0.007158676
15-12-2020;0.02815495
16-12-2020;0.003721849
17-12-2020;-0.003223627
18-12-2020;-0.018113475
21-12-2020;0.024712659
22-12-2020;-3.05E-05
23-12-2020;-0.009729661
28-12-2020;0.019653166
29-12-2020;-0.022090143
30-12-2020;-0.012668541
31-12-2020;-0.00978746
04-01-2021;-0.031208312
05-01-2021;0.013861536
06-01-2021;-0.008511186
07-01-2021;0.019280117
08-01-2021;-0.003622055
11-01-2021;-6.88E-07
12-01-2021;0.001790904
13-01-2021;0.017189008
14-01-2021;-0.014519786
15-01-2021;-0.01531819
19-01-2021;0.000472137
20-01-2021;0.025099025
21-01-2021;0.022320586
22-01-2021;0.018198036
25-01-2021;-0.002447034
26-01-2021;-0.002821497
27-01-2021;-0.00639111
28-01-2021;-0.020351156
29-01-2021;-0.02649305
01-02-2021;0.002311582
02-02-2021;-0.005581483
03-02-2021;-0.014099744
04-02-2021;0.005354635
05-02-2021;-0.004781721
08-02-2021;0.004611992
09-02-2021;-0.004510379
10-02-2021;-0.009238344
11-02-2021;-0.006680207
12-02-2021;0.007413562
16-02-2021;-0.017571974
17-02-2021;-0.003668895
18-02-2021;0.003204949
19-02-2021;-0.002383182
22-02-2021;-0.01597778
23-02-2021;0.015620228
24-02-2021;0.00207273
25-02-2021;-0.030656381
26-02-2021;-0.012940917
01-03-2021;0.029534703
02-03-2021;-0.025746294
03-03-2021;-0.022638179
04-03-2021;-0.010317314
05-03-2021;0.00205053
08-03-2021;-0.036011485
09-03-2021;0.015332976
10-03-2021;-0.013824415
11-03-2021;-0.00487093
12-03-2021;0.00559352
15-03-2021;0.020418761
16-03-2021;-0.002506253
17-03-2021;0.006640072
18-03-2021;-0.019879773
19-03-2021;-0.00225084
22-03-2021;0.022791224
23-03-2021;-0.007439515
24-03-2021;-0.024125819
25-03-2021;0.010546809
26-03-2021;0.005545157
29-03-2021;-0.003581576
30-03-2021;-0.000208669
31-03-2021;0.004100786
01-04-2021;-0.005393985
05-04-2021;0.015520509
06-04-2021;-0.002532422
07-04-2021;0.016313347
08-04-2021;0.010950098
09-04-2021;0.022139724
12-04-2021;-0.008153269
13-04-2021;0.012900476
14-04-2021;-0.020544644
15-04-2021;0.002910022
16-04-2021;-0.003426074
19-04-2021;0.009466583
20-04-2021;-0.014521629
21-04-2021;0.007711977
22-04-2021;-0.006271026
23-04-2021;0.014671639
26-04-2021;3.68E-05
27-04-2021;-0.006495
28-04-2021;-0.004174929
29-04-2021;-0.022105725
30-04-2021;-0.002016061
03-05-2021;0.004985361
04-05-2021;-0.023685018
05-05-2021;-0.008655618
06-05-2021;0.014678179
07-05-2021;-0.004786532
10-05-2021;-0.018459113
11-05-2021;0.020189578
12-05-2021;-0.002671697
13-05-2021;-0.000232053
14-05-2021;0.00716895
17-05-2021;-0.002438594
18-05-2021;-0.013921269
19-05-2021;0.01324334
20-05-2021;0.015644349
21-05-2021;-0.019923349
24-05-2021;0.008495092
25-05-2021;-0.006164019
26-05-2021;-0.000354313
27-05-2021;-0.009011569
28-05-2021;-0.008353828
01-06-2021;-0.006494393
02-06-2021;0.007581793
03-06-2021;-0.008822267
04-06-2021;0.013407637
07-06-2021;-0.002259873
08-06-2021;0.000399428
09-06-2021;-0.000943025
10-06-2021;-0.007501737
11-06-2021;0.006463337
14-06-2021;0.020179763
15-06-2021;-0.001733027
16-06-2021;-0.00253993
17-06-2021;0.012588094
18-06-2021;-0.002986467
21-06-2021;0.014428251
22-06-2021;0.013752737
23-06-2021;-0.000599058
24-06-2021;-0.008028066
25-06-2021;-0.002551004
28-06-2021;0.009286297
29-06-2021;0.009701011
30-06-2021;0.004945711
01-07-2021;0.006286939
02-07-2021;0.014288096
06-07-2021;0.012413643
07-07-2021;0.007223127
08-07-2021;0.009448923
09-07-2021;0.016884327
12-07-2021;-0.011629745
13-07-2021;0.010509316
14-07-2021;0.009319236
15-07-2021;-0.00335518
16-07-2021;-0.014989996
19-07-2021;-0.009150934
20-07-2021;0.017680813
21-07-2021;-0.001512421
22-07-2021;0.005232727
23-07-2021;0.006283822
26-07-2021;0.004379366
27-07-2021;-0.014126569
28-07-2021;0.000168852
29-07-2021;0.006580325
30-07-2021;0.009163615
02-08-2021;-0.006131046
03-08-2021;0.008537146
04-08-2021;-0.002752949
05-08-2021;0.000103469
06-08-2021;-0.002152067
09-08-2021;-0.001093343
10-08-2021;-0.005406063
11-08-2021;-0.000992873
12-08-2021;0.018266093
13-08-2021;-0.000539317
16-08-2021;0.01652434
