dts,rsv_p_1,rsv_p_2,rsv_p_3,rsv_p_4,rsv_p_5
22/07/2002,0.000736592750307981,0.0013904024971234,0.00118281866884368,0.000557417004471445,0.00101358412526266
23/07/2002,0.000561262054997987,0.00117234282693038,0.000765332099219169,0.000602528120832166,0.000813074619534376
24/07/2002,0.00179804380995654,0.00651326885202893,0.00158539471604548,0.000883511924431417,0.00232048761193209
25/07/2002,0.00118769221617057,0.00118559326435122,0.00151243793914064,0.000861288850110407,0.0014369119794625
26/07/2002,0.00112819806661368,0.00147535707487297,0.000923070161308879,0.000333831859450332,0.000597305894551801
29/07/2002,0.00069503370527536,0.0015537290677335,0.000618344569745543,0.00027612650345491,0.000291552890815973
30/07/2002,0.000908506000822625,0.000697201696684959,0.00084592737395767,0.000330736707682797,0.000427679483720445
31/07/2002,0.000357365219390706,0.000589499690141312,0.000685983899685189,0.000256033734107666,0.000337416242278013
01/08/2002,0.000415136850320544,0.000698593716069638,0.000794964021449682,0.00029194220856709,0.000170800871156371
02/08/2002,0.000546168266501351,0.000502449255262169,0.000833666909184936,0.000217936318083327,0.000414552561583066
05/08/2002,0.000405538985682064,0.000455592530924982,0.000280400580687775,0.000193488589866492,0.000308242902057971
06/08/2002,0.00146289324901547,0.00071737837015714,0.000667244742560735,0.00029053384482002,0.000398200774012018
07/08/2002,0.000701208723794433,0.000795635199902063,0.000654122905953964,0.000512284586324845,0.000501926640710185
08/08/2002,0.000777906661892448,0.0010803975065688,0.000633113458865458,0.000425411189112359,0.000442469530425839
09/08/2002,0.000545712229905631,0.00127713400161537,0.000248398848650978,0.000381395132795129,0.000298444511762706
12/08/2002,0.00025134241805984,0.000877534456763443,0.000430387686821745,0.000287845497121587,0.000348995714907188
13/08/2002,0.000478399493791608,0.000382135827187747,0.000451864345042796,0.000282231640116977,0.000202042608660847
14/08/2002,0.000531082783111075,0.000659810531646933,0.000573171007917592,0.000273746032349993,0.000369994429935298
15/08/2002,0.00126240835897465,0.00089824716545265,0.000561040486555086,0.000220507260500663,0.000446359032216457
19/08/2002,0.000490281199467575,0.000696259103255191,0.000142666619333825,0.000243894956034892,0.000223807147726295
20/08/2002,0.000440941548535939,0.000547732040920437,0.000312036527078512,0.000184957429801788,0.000158665311317242
21/08/2002,0.000694047608040163,0.000773882113546081,0.000271010621439912,0.000210632199699133,0.00024989866336029
22/08/2002,0.00032452509330432,0.0017115528084831,0.00014993171277154,0.000149675575899525,0.000149849913214071
23/08/2002,0.000405456383225951,0.00065535587475793,0.000196503436331284,0.000135663456962183,0.000108320293297149
26/08/2002,0.000223544640402836,0.000353355882853112,0.000399098442544177,0.000168328168541016,0.000171134278209584
27/08/2002,0.000328443944988056,0.000393085804396111,0.000274529792328516,0.000160272151788761,9.94391946049245e-05
28/08/2002,0.000354032223945595,0.000647922556449554,0.000259554196698048,0.000140675156795526,0.000193435233419621
29/08/2002,0.000281652576627895,0.000844363719357438,0.000788574354464975,0.000231647870577915,0.000318018685332686
30/08/2002,0.000494113884765058,0.000591257604043757,0.000414479560300401,0.00017921505434319,0.000156841227043094
03/09/2002,0.000160979877503443,0.000391998117986134,0.000124173061157711,0.000101307611970763,9.77465638664314e-05
05/09/2002,0.000220381706904483,0.000362657618820579,0.000141981161403731,0.000210169685586391,0.000161980948888838
06/09/2002,0.000168056537427058,0.000587482109791329,0.000195537583950696,0.000108071450037852,0.000145362930202442
09/09/2002,0.000201832979581625,0.000777292743085212,0.000693325070190728,0.000196144320340436,0.000272004113937482
12/09/2002,0.000107033963520116,0.000509158729231405,8.73689146792273e-05,8.76062185623115e-05,0.000105737376289681
13/09/2002,0.00018847139352129,0.000362304951926505,0.000370445922439118,0.000242248347615464,0.000436930470407508
16/09/2002,0.000241523428150764,0.000459916257199848,0.000185263191608282,0.00013445954313523,0.000215266003968458
17/09/2002,0.000469433555029501,0.000517724376147484,0.000159672251886983,0.000133593582409532,0.0001254610350358
18/09/2002,0.000317647545675271,0.000628064604638546,0.000567561951843202,0.000204368615767753,0.000330173041586322
19/09/2002,0.000131080067086795,0.000450479947426798,0.000205586425001221,0.000141299907563131,0.000234779082865184
20/09/2002,0.000397385203113313,0.000488525760511721,0.000333319285769737,5.80211773141408e-05,0.000137356636853481
23/09/2002,0.00029891813658165,0.0011995016648897,0.000463076015794633,0.000132512388343718,0.000215527294495149
24/09/2002,0.000949376274195929,0.0011974806166518,0.00074097435121227,0.000522746635022006,0.000900908724527774
25/09/2002,0.000339273205598745,0.000724883490458586,0.000572093650907639,0.000219064931601369,0.000361763431659572
26/09/2002,0.000294983450885803,0.000897031967182133,0.000271596516477603,0.000238191453777096,0.000255710106284087
27/09/2002,0.000417101122767901,0.000489428139239339,0.000464776132595085,0.000284441633737129,0.000219719627259323
30/09/2002,0.000370324576619941,0.000723719985705501,0.000779888754123973,0.000372016943107881,0.000507068774744016
01/10/2002,0.00053795522730322,0.000657946843573868,0.000832776611362929,0.000465924564048786,0.000597355215637072
02/10/2002,0.000354864853783445,0.000562808580246737,0.000698031774366389,0.000567057511047171,0.000433964560825654
03/10/2002,0.000447093844733455,0.000284470557244858,0.000632176593015758,0.000487442491063816,0.000574544998462891
07/10/2002,0.000275388052806879,0.000539478174426281,0.000996613857547334,0.000602227563733337,0.000511143127053878
08/10/2002,0.000654217353875251,0.000412893011640054,0.00148745407389695,0.0011888594445793,0.000465641036525451
09/10/2002,0.000470697562335469,0.000503630634888428,0.00157668551785634,0.000336595443968612,0.000416096423551904
10/10/2002,0.000394422886181284,0.000740393542707864,0.00231072657052467,0.000695495953382286,0.000635239974768569
11/10/2002,0.000457083700811408,0.000546172969879453,0.000868058397446551,0.00040554137241287,0.000558259850140168
14/10/2002,0.000272164857841783,0.000834536571173147,0.00053861078799908,0.000273823662711801,0.00037396952400055
15/10/2002,0.000303637388208814,0.000301209572316106,0.000561460871545311,0.000120597229803675,0.000190811322656526
16/10/2002,0.000408990760096148,0.001429759895964,0.000397236774876753,0.000267274549466654,0.000186288615340845
17/10/2002,0.000346746009611605,0.00052139602476875,0.000584905376148657,9.91747092029877e-05,0.000306238709418274
18/10/2002,0.00032649272264522,0.000700467973009426,0.000821695253779042,0.000251433211889876,0.000347782562266784
21/10/2002,0.000324514569978012,0.000401973612108684,0.000662009145739619,0.000161080348338546,0.000226967987783143
23/10/2002,0.00052063364081646,0.000184734337236468,0.000656191011969078,0.000167851667189018,0.000317337184075456
24/10/2002,0.000381219340122979,0.000350274303744412,0.000869758431687423,0.000135411887859922,0.00022133950890079
25/10/2002,0.000446053256178887,0.00084383111227309,0.000614482735465283,0.000206937031742479,0.000239829269521417
28/10/2002,0.00040401511452451,0.000360824005431053,0.000328228685198767,0.000146836803567646,0.00012871182297755
29/10/2002,0.000548759938565427,0.000514265442146288,0.000646969309369144,0.000208842202467828,0.000177755420971368
30/10/2002,0.000518401966948007,0.000435496023300894,0.000896235030366214,0.000382129738887715,0.000245064022754722
01/11/2002,0.000396904769762969,0.000202301819531644,0.000705506860571489,0.000181585038753318,0.000256983395557581
04/11/2002,0.000443201124958233,0.00081710662328014,0.000566844084360533,0.000104221520965413,0.000148199203972528
05/11/2002,0.000375475032020827,0.000376275223540265,0.000756880599126594,0.000112745697375167,0.00016115520815588
