dts,rsv_n_1,rsv_n_2,rsv_n_3,rsv_n_4,rsv_n_5
22/07/2002,0.000744600912930903,0.000913005960078397,0.00109475258800199,0.00067677182402218,0.00140691116282493
23/07/2002,0.000945883057350586,0.00187277035466988,0.00112489558706082,0.00054685427689685,0.0014157944530643
24/07/2002,0.00170350426138607,0.00331282200452641,0.000785783431904232,0.000577049187624236,0.0014595739845843
25/07/2002,0.0023268715178003,0.00267568423760168,0.00241979020464782,0.000676385094036219,0.00191336571488546
26/07/2002,0.000933867400918686,0.00121410114210215,0.000646242244779334,0.000406519933168906,0.000387150431307346
29/07/2002,0.00040915464049194,0.000897845651578396,0.000378068558081963,0.000214695774821333,0.000171549446588955
30/07/2002,0.000613867685218038,0.000372186387284757,0.000682794723302585,0.00031375085283499,0.000309931202992619
31/07/2002,0.000814164935021244,0.000358070961672802,0.00048200668922356,0.000331872132752287,0.000297368234686574
01/08/2002,0.000735235444490484,0.000525891545643504,0.00185636474696035,0.000375300742520907,0.000455371752162563
02/08/2002,0.00130079026369132,0.000458886832124375,0.000997845611043783,0.000223803019163519,0.000441728996260273
05/08/2002,0.000569342834078593,0.000886688292035944,0.000346480369512564,0.000292032835359077,0.00035746945255228
06/08/2002,0.00111956744735149,0.00031754085492212,0.000518948594233327,0.000361535848769635,0.000352735525110393
07/08/2002,0.000956534167439105,0.000864901023237157,0.000911689551620977,0.000374610866145743,0.000398096321519007
08/08/2002,0.000572800448863767,0.000999963104999363,0.000549823889938394,0.000188481804046006,0.000243017108556072
09/08/2002,0.000556019735991056,0.000593677349244353,0.000208689989307984,0.000234964172254639,0.000343798816603224
12/08/2002,0.000282921196587706,0.000257096729690104,9.57026611482226e-05,0.000165200435822192,0.0002100826715881
13/08/2002,0.000500363847396074,0.000411647339697177,0.000527209291264405,0.000262764288795077,0.000351672478249375
14/08/2002,0.000299525690550737,0.000530076679098655,0.000238100009290145,0.000144584943941706,0.000152027548901132
15/08/2002,0.00109365568549225,0.000711352711837484,0.000648102679468292,0.000241682529657783,0.000474515859149089
19/08/2002,0.000339364806464719,0.000389567363736255,0.000224541161899353,0.000115256614706306,6.78157009421987e-05
20/08/2002,0.000300453634776948,0.000251382563275019,0.000263601443284509,0.000248736922884223,0.000167203945986394
21/08/2002,0.00075898901468132,0.000991341843154575,0.000183377703887779,0.000246538875258381,0.000238215283152077
22/08/2002,0.000645263494354786,0.0013691435386359,0.000168962298230609,0.000115119798260872,0.000144271315153139
23/08/2002,0.00036667196903034,0.000866221565621442,0.000382409855309732,0.000139077921091091,0.000104778682557962
26/08/2002,0.000498276573238212,0.000608210457123164,0.000308734660455472,0.000289197879668345,0.000197726782665089
27/08/2002,0.00081456181189964,0.000764978901596858,0.000500840733159733,0.000366232935256248,0.000219396622119364
28/08/2002,0.000437075937572713,0.000625037748731457,0.000315399344878492,8.33645592288255e-05,0.000196359271736859
29/08/2002,0.000280347413872389,0.000340773773475795,0.000286987690345916,0.00017814692482808,0.000242808961187172
30/08/2002,0.00043122555623626,0.000380797894661143,0.000363617792533665,0.00014382313293954,0.000227230040800994
03/09/2002,0.000306595670280945,0.000419037229588148,0.000327124782777723,0.000194121215026451,0.000202843501169429
05/09/2002,0.000269292627583618,0.000550954280141724,0.000217210924928417,0.000147968768036495,0.000291117096814044
06/09/2002,0.000164758242389073,0.000221100897934035,0.000278830203650013,0.000122837950505292,0.000136096432036844
09/09/2002,0.000202497995530325,0.000303184695841148,0.000270736071096544,0.000176524041387854,9.10656257833524e-05
12/09/2002,0.000122662111414204,0.000423671605338977,0.000228765429917881,0.000214067286904743,0.000198942196706636
13/09/2002,0.000188366181194282,0.000344537036543155,0.000189823709374522,0.000111949005316075,0.000218167347098379
16/09/2002,0.000141509974108771,0.000291165192092427,0.000221105633489054,8.79814502717209e-05,0.000140989162398473
17/09/2002,0.000323416938389676,0.000345767086841306,0.000430129560616384,0.000231757319443016,0.000245560746303262
18/09/2002,0.00019525687232995,0.000340156926273521,0.000416785481516055,0.000240333234713736,0.000220914688893387
19/09/2002,0.000171719160534412,0.000353688374449982,0.000146024227525382,0.000125262250002302,0.000192208736738571
20/09/2002,0.000258579673406268,0.00132170931507524,0.000219304946301782,0.000138381799400758,0.000140931762845462
23/09/2002,0.000218265601167598,0.000461906192821108,0.000345615656769897,0.000167510613458325,0.000336022193003713
24/09/2002,0.000399875170240173,0.0010373388733198,0.000757626244817801,0.000665373217051005,0.000563244766302591
25/09/2002,0.000254390918852949,0.00100516469249738,0.000374431320897271,0.000173475368481735,0.000318063819581313
26/09/2002,0.000669098307182043,0.000417436904733049,0.000824703893883191,0.000446318819143819,0.000399860980360117
