dts,drets_1,drets_2,drets_3,drets_4,drets_5
22/07/2002,0.00248007201802837,0.0404007733909825,-0.0104706915684501,-0.0441946930762735,-0.0572028995801193
23/07/2002,-0.046588865803123,-0.0518375851174846,-0.0404922264856785,-0.0114398529621347,-0.066882942996625
24/07/2002,0.0514424679983257,0.14148027579418,0.0885524645790446,0.0430361172302191,0.0762902173357635
25/07/2002,-0.0289406740519585,-0.105443333005397,-0.0967501384681532,0.00309461317711188,-0.0596438930873105
26/07/2002,-0.00564243636826622,0.0297726142919085,-0.00745923070103344,-0.0246499496770159,0.0322850673925808
29/07/2002,0.0429615217776413,0.0661626781167432,0.0691793656246877,0.0257718943740152,0.0241723806524953
30/07/2002,0.0356993420901226,0.0440504126878298,0.0351764239951315,0.0107133704356641,0.0207565207590357
31/07/2002,-0.00671762081659173,0.0165746127127156,0.0026246279668029,0.00160299171402564,0.00317938873910295
01/08/2002,-0.0123743322579521,-0.00614214686735123,-0.074392059558724,-0.0362763470388116,-0.0400679373633481
02/08/2002,-0.0348006664319054,-0.014507651943829,-0.0215627712204083,-0.0119211469997168,-0.0195615154623518
05/08/2002,-0.0286897107826499,-0.0597948056210888,-0.0114061157506029,-0.0332474132015404,-0.00625249955899281
06/08/2002,0.0443491824243504,0.0471060999713925,0.0288463402729673,0.0111066397315827,0.0154781553946096
07/08/2002,-0.000664130118073307,-0.0231441697110417,-0.025603428026269,0.00824633405538459,0.00612959014474629
08/08/2002,0.0130347530344069,0.0527387051699244,0.0251236402519919,0.0327904514469907,0.0301780513589187
09/08/2002,-0.00580406360994165,0.053843622821589,0.00341797192234656,0.0115992099836191,0.00221386257984582
12/08/2002,-0.0135409821004338,0.0433225143890293,0.0287014044902935,0.0109055233031502,0.0174402998961974
13/08/2002,-0.0129755396891344,-0.0142036498488263,0.00606754710059351,0.00276261218933636,-0.0201232544018938
14/08/2002,0.0420561824654731,-0.00186681449945284,0.0621537942490435,0.0392779959612948,0.0500806755882804
15/08/2002,0.034569868691805,0.038070186372499,-0.0169076774347214,0.0113071783965511,-0.003650046406924
19/08/2002,0.00265955945163443,0.0470175914197828,0.00156805983955369,0.0388122006051934,0.0377255643264293
20/08/2002,0.0146105020780779,0.05052360052257,0.00681494124853051,-0.00607613038231017,-0.00403224426940344
21/08/2002,-0.00324530838674113,-0.0318338055120182,0.0120359197885788,-0.0114345791556637,0.0114021578312576
22/08/2002,-0.0146426159673074,0.0332378850653209,0.0124082634408882,0.0125263476598958,0.00831190553939114
23/08/2002,-0.00758338857504235,-0.0223165121309809,-0.0351854104444806,-0.0100348011710377,-0.00248836069323401
26/08/2002,-0.0263092680169556,-0.0230259640782422,-0.00355854047168456,-0.00922868973496239,-0.00816450626626385
27/08/2002,-0.0513195791883631,-0.0455461537806257,-0.0567635378484484,-0.024648381098185,-0.0341925447951154
28/08/2002,-0.0185663292730714,0.00957379903643,-0.0255174185213101,0.00315897734588681,-0.0222846617285543
29/08/2002,0.00671800043396148,0.0527676688790495,0.0509384757955822,0.0179853343018725,0.0364855729257828
30/08/2002,-0.00280272104487271,-0.00301573122873445,-0.00365572422791308,0.000259255711690075,-0.0238172891798217
03/09/2002,-0.0241710534733271,0.00545826339658366,-0.0465674934507752,-0.0230554354858736,-0.0271131587479887
05/09/2002,-0.0148878673318929,-0.0334422136023751,-0.0137888415799991,0.00927804119319392,-0.0311217528923876
06/09/2002,-0.0073148804907073,0.045715973184609,-0.0163246983635162,-0.00856652402947044,0.000912462648159645
09/09/2002,0.000318043383151657,0.0814870878082238,0.0253273700491291,0.023643260553255,0.032142538341576
12/09/2002,-0.00544707888195454,-0.00932604920595582,-0.0286429379604529,-0.0319474691658256,-0.0214335080724694
13/09/2002,0.00215817703072607,-0.00661885299375532,0.0203008910646855,0.025891671723433,0.0209316628212455
16/09/2002,0.0326671586812311,0.0138286060454397,-0.0121979402860145,0.00944957356439876,0.00797818863493609
17/09/2002,0.0173803790462927,0.0126843664409902,-0.0459499869663537,-0.0294196429434451,-0.0270282928810494
18/09/2002,0.0202783732571162,0.0304566351044342,0.0158778290233709,-0.0123439853631855,0.0226862563395379
19/09/2002,-0.0245279904568529,0.00219504378520215,0.011529387466514,0.000331377239096341,0.0102665350129466
20/09/2002,0.0222307822463408,-0.0955631751783831,0.0120967704112174,-0.02689041029505,-0.00191119298426842
23/09/2002,0.017388614925364,0.0204845411422088,-0.00134782958246971,-0.0107438906159495,-0.0287462349010141
24/09/2002,0.0115055347230102,0.00519198641290095,-0.0240578879422305,-0.0208864125692057,0.0342866551779913
25/09/2002,0.0145353800175406,-0.0229098547732142,0.0245574907389626,0.0212507166282125,0.00319463553831867
26/09/2002,-0.0366054132901319,0.0705379423297453,-0.0431185886759739,-0.0399445941038867,-0.018298404133548
27/09/2002,-5.17939546775502e-05,0.00740644437077199,0.0256439240073136,-0.0170863522012623,-0.0182164284161741
30/09/2002,0.0029059533854293,-0.045165884407312,-0.0303998102801264,-0.0197079814548576,-0.0240039525760222
01/10/2002,-0.0262583973201222,0.0404602806469352,0.0179370882298867,0.0237708292594914,0.0484718130146321
02/10/2002,-0.0207534875163688,0.00826654309251498,-0.0654144103154886,-0.0240022097909533,-0.00978235786743795
03/10/2002,0.00686057382582955,-0.00355558156790974,-0.0339876911475865,-0.0058003821211569,-0.012529855593223
07/10/2002,-0.0293277594966436,0.010442362798054,-0.00606142310802927,0.00407918326805706,0.00726248290313181
08/10/2002,-0.0222136919163574,0.010729871936253,-0.070745001185914,-0.0171163490995055,0.00462156496634938
